ID,Settlement,Architectural/Urban Remains,Ethnicity_A1,Ethnicity_A2,Ethnicity_B1,Ethnicity_B2,Ethnicity_C1,Ethnicity_C2,Start Date,End Date,Roman Province 1,Roman Province 2,Legal Status A,Legal Status B,Legal Status C,Via,Conventus,Mint,Excavated,Modern Place,Modern Region,Modern Province,Pleiades URI,IAPH,TM URI,Wikipedia,,,
19,Albus Portus,,Phoenician,Phoenician,,,,,-30,640,,Baetica,Portus,,,,Conventus Gaditanus,FALSO,,Algeciras?,Cádiz,Andalucía,https://pleiades.stoa.org/places/255964,,https://www.trismegistos.org/place/40879,https://es.wikipedia.org/wiki/Portus_Albus,,,
20,Anticaria,,Punic,Punic,Iberian,Iberian,Roman republican,Roman,-30,640,,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,,Antequera,Maálaga,Andalucía,https://pleiades.stoa.org/places/265799,,https://www.trismegistos.org/place/26172,https://es.wikipedia.org/wiki/Antequera,,,
21,Aratispi,Wall with rectangular bastions; ceramic furnace,Punic,Punic,Roman republican,Roman,,,-30,640,,Baetica,Municipium,,,,Conventus Astigitanus,FALSO,VERDADERO,Near Anticaria (Antequera),Málaga,Andalucía,https://pleiades.stoa.org/places/265801,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i3890,http://www.trismegistos.org/place/26435,https://es.wikipedia.org/wiki/Aratispi,,,
22,Arsa,,,,,,,,-330,640,,Baetica,Municipium flavium,Colonia cesariana,,,Conventus Cordubensis,VERDADERO,,Gadeira (near),Cádiz,Andalucía,https://pleiades.stoa.org/places/256159,,http://www.trismegistos.org/place/50608,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
23,Artigi,,,,,,,,-330,640,,Baetica,Mansio,,,,Conventus Cordubensis?,FALSO,,Castuera,Badajoz,Extremadura,https://pleiades.stoa.org/places/255990,,http://www.trismegistos.org/place/26436,https://es.wikipedia.org/wiki/Castuera,,,
24,Arucci,,Celtic,Celtic,Roman republican,Roman,,,-30,640,,Baetica,Estipendiaria,,,,Conventus Hispalensis,FALSO,VERDADERO,Aroche,Huelva,Andalucía,https://pleiades.stoa.org/places/255991,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i2138,http://www.trismegistos.org/place/26108,https://es.wikipedia.org/wiki/Turobriga,,,
25,Arunda,,Celtic,Celtic,Roman republican,Roman,,,-30,300,,Baetica,Oppida,,,,Conventus Gaditanus,FALSO,,Ronda,Malaga,Andalucía,https://pleiades.stoa.org/places/255992,,http://www.trismegistos.org/place/26187,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
26,Arva,columns with Corinthian capitals; mural painting; Roman thermal infrastructures; swimming pools,Iberian,Iberian,Punic,Punic,Roman republican,Roman,-30,300,,Baetica,Municipium,,,,Conventus Hispalensis,FALSO,VERDADERO,Alcolea del Rio,Seville,Andalucía,https://pleiades.stoa.org/places/255993,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6853,http://www.trismegistos.org/place/38506,https://es.wikipedia.org/wiki/Anexo:Poblaciones_romanas_de_la_B%C3%A9tica,,,
27,Asido,Roman sewers,Turdetani,Iberian,Roman republican,Roman,,,-330,640,,Baetica,Municipium,Colonia,,,Conventus Gaditanus,VERDADERO,VERDADERO,Medina Sidonia,Cádiz,Andalucía,https://pleiades.stoa.org/places/255994,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6744,http://www.trismegistos.org/place/25994,https://es.wikipedia.org/wiki/Conjunto_Arqueol%C3%B3gico_Romano_de_Medina-Sidonia,,,
28,Asta Regia,stucco fragments,Phoenician,Phoenician,Punic,Punic,Roman republican,Roman,-750,640,Ulterior,Baetica,Colonia Augusta Firma,,,,Conventus Gaditanus,VERDADERO,VERDADERO,Mesas de Hasta,Cádiz,Andalucía,https://pleiades.stoa.org/places/256193,http://www.iaph.es/patrimonio-inmueble-andalucia/resumen.do?id=i6681,http://www.trismegistos.org/place/25992,https://es.wikipedia.org/wiki/Asta_Regia,,,
